date,Liabilities,Assets,VAR,VAR_DATE,timestamp
2021-10-04,15524637894.170616,5603491123.344276,-4.597618486541312,2021-01-12,1633305600.0
2021-10-03,15629362674.942104,5713048545.074071,-4.5553226896103345,2021-01-12,1633219200.0
2021-10-02,18965500250.607773,8239263132.134443,-4.481632864977267,2021-01-12,1633132800.0
2021-10-01,18083518007.21901,8094981483.193121,-4.108662029086126,2021-01-12,1633046400.0
2021-09-30,17563633363.563446,7940582285.614689,-3.914561603747028,2021-01-12,1632960000.0
2021-09-29,17218457838.64233,7763177820.238513,-3.832685762201953,2021-01-12,1632873600.0
2021-09-28,17621071147.01901,7846380404.839318,-4.0382591023586105,2021-01-12,1632787200.0
2021-09-27,17943306364.351215,7935869325.083144,-4.218142880930435,2021-01-12,1632700800.0
2021-09-26,17677836959.377617,7931975431.661914,-4.054461651957832,2021-01-12,1632614400.0
2021-09-25,17547043658.167095,7941304964.16471,-3.9275413527033813,2021-01-12,1632528000.0
2021-09-24,18230521093.814095,8109040092.121644,-4.2071943433275205,2021-01-12,1632441600.0
2021-09-23,18057848697.07023,8314041418.839711,-3.9327795387172397,2021-01-12,1632355200.0
2021-09-22,17156087466.10685,8227010060.820558,-3.4904740401747154,2021-01-12,1632268800.0
2021-09-21,17680919591.0409,8175160198.529825,-3.7787194019082597,2021-01-12,1632182400.0
2021-09-20,18603057987.07934,8292073100.80368,-4.196635655750599,2021-01-12,1632096000.0
2021-09-19,18914476646.385685,8238828006.773577,-4.365132411367739,2021-01-12,1632009600.0
2021-09-18,18699032930.24391,8181087406.068723,-4.221728789760446,2021-01-12,1631923200.0
2021-09-17,19385976501.116463,8515431869.076644,-4.392650373115682,2021-01-12,1631836800.0
2021-09-16,19668350281.67343,8637890465.51629,-4.48423977143705,2021-01-12,1631750400.0
2021-09-15,19394340189.03197,8638575902.21945,-4.278482036028959,2021-01-12,1631664000.0
2021-09-14,19335536379.416897,8731249411.831568,-4.2236536648432725,2021-01-12,1631577600.0
2021-09-13,19728476126.245655,8838436257.097397,-4.36554592679387,2021-01-12,1631491200.0
2021-09-12,19291737562.895866,8777448680.09124,-4.181763536647849,2021-01-12,1631404800.0
2021-09-11,19316541645.585667,8976895408.0615,-4.292819407196708,2021-01-12,1631318400.0
